train_end,test_end,base_auc,base_acc,base_dummy_acc,base_pos_rate,base_best_threshold,base_bal_acc,base_logloss,base_conf_threshold,base_mean_strat_ret,base_sharpe,base_trade_rate,base_avg_trade_ret,base_hit_rate,tcn_auc,tcn_acc,tcn_bal_acc,tcn_logloss,tcn_best_threshold,tcn_mean_strat_ret,tcn_sharpe,tcn_trade_rate,tcn_avg_trade_ret,tcn_hit_rate
2024-04-24,2024-06-26,0.47767562045550155,0.4909560723514212,0.6666666666666666,0.6666666666666666,0.5499999999999999,0.47286821705426363,0.7265169783117714,0.7,0.0023865417548563474,1.188739959341912,0.19121447028423771,0.0124809683666136,0.6081081081081081,0.5506580133405443,0.599483204134367,0.5232558139534884,0.6526520920494052,0.525,0.012796337581583443,2.912509376076182,0.7364341085271318,0.017376079452886987,0.6807017543859649
2024-06-26,2024-08-28,0.5263266517039445,0.5202020202020202,0.553030303030303,0.44696969696969696,0.5499999999999999,0.5223279931893816,0.744863959638604,0.7,0.0016317549910781434,0.4267612275004873,0.15404040404040403,0.010593032401097456,0.4918032786885246,0.46485050176714904,0.4621212121212121,0.4633155328534943,0.7300498004934709,0.525,-0.0019414285680356999,-0.3509170242659732,0.5151515151515151,-0.0037686554555987116,0.4117647058823529
2024-08-28,2024-10-30,0.41751786874593894,0.4797979797979798,0.5681818181818182,0.5681818181818182,0.5499999999999999,0.4678362573099415,0.786324563278236,0.7,-0.0008437813580995901,-0.4302044977867599,0.1919191919191919,-0.004396544971150496,0.3815789473684211,0.5023001949317739,0.5176767676767676,0.50046783625731,0.6948868794369959,0.5499999999999999,0.004602543226551734,1.0224265330865576,0.6262626262626263,0.007349222248848735,0.5685483870967742
2024-10-30,2025-01-01,0.4308230683090706,0.4780361757105943,0.6072351421188631,0.6072351421188631,0.5499999999999999,0.4540313549832027,0.7600238058150699,0.7,-3.098906930564671e-05,-0.013053840896417177,0.14987080103359174,-0.0002067718934704358,0.4482758620689655,0.46466965285554307,0.4728682170542636,0.4741741321388578,0.6964794337352441,0.5499999999999999,0.00649545994967529,1.2233715210168759,0.4883720930232558,0.013300227516001788,0.582010582010582
2025-01-01,2025-03-05,0.5301065449010655,0.5203252032520326,0.5934959349593496,0.4065040650406504,0.5499999999999999,0.528675799086758,0.7657197736270038,0.7,-0.0037754038316229538,-1.0766898746978537,0.21138211382113822,-0.017860564280370125,0.38461538461538464,0.48377473363774726,0.4905149051490515,0.5035616438356164,0.7630606679301465,0.5499999999999999,-0.007211466499964731,-1.227937290560475,0.5691056910569106,-0.012671576849938028,0.4095238095238095
2025-03-05,2025-05-07,0.601838845613587,0.5782828282828283,0.5176767676767676,0.5176767676767676,0.525,0.5787383475929,0.6896566276536955,0.7,0.004940282910814623,1.1611204766638974,0.1893939393939394,0.02608469376910121,0.68,0.48627250670412464,0.48737373737373735,0.4875367130634657,0.7244191732857573,0.5499999999999999,0.001181037680319555,0.1700084957868211,0.494949494949495,0.00238617817044155,0.5051020408163265
2025-05-07,2025-07-09,0.46846873965262936,0.5079365079365079,0.6322751322751323,0.6322751322751323,0.525,0.4889678215586527,0.7363655089733344,0.7,0.0016991775084273662,0.588782665990493,0.1455026455026455,0.011677983603373536,0.4909090909090909,0.3865627163541133,0.40476190476190477,0.40436771921375037,0.7497282361273353,0.5499999999999999,0.001953365749605465,0.7495805276733327,0.47619047619047616,0.004102068074171477,0.5388888888888889
2025-07-09,2025-09-10,0.5512217118056535,0.5505050505050505,0.6540404040404041,0.6540404040404041,0.525,0.5171208747851084,0.6903004985386787,0.7,0.00301171409179089,1.395673717029226,0.1919191919191919,0.015692615530910427,0.75,0.41600202914071527,0.5126262626262627,0.4572189499196798,0.6950615900936624,0.5499999999999999,0.008871815560110559,1.8012863643705015,0.6666666666666666,0.013307723340165837,0.625
2025-09-10,2025-11-12,0.5065183858287307,0.5555555555555556,0.5703703703703704,0.5703703703703704,0.5499999999999999,0.5288475891924167,0.7459852177607315,0.7,0.001991162617031452,0.7355948348385185,0.2740740740740741,0.007265052791871514,0.5855855855855856,0.5454545454545454,0.5555555555555556,0.5253022839229736,0.6838577617771869,0.525,0.0058538871895332184,1.0987783779283142,0.7185185185185186,0.008147162583370974,0.5876288659793815
2025-11-12,2026-01-14,0.530990057414928,0.5079365079365079,0.5105820105820106,0.4894179894179894,0.5499999999999999,0.5115249964990898,0.7698249887396563,0.7,0.0022771379188937686,0.7769280448633566,0.2962962962962963,0.0076853404762664695,0.5714285714285714,0.44660411707043834,0.42592592592592593,0.42740512533258646,0.7396418787888246,0.575,-0.0005591427647244505,-0.14773819848389164,0.5714285714285714,-0.0009784998382677884,0.42592592592592593
